Company_Name,ship_name,built_year,gt,gt2,dwt,length,width,height,a_lenght,a_area,v_displaced,draught,depth_ofhole,v_ship,Q,time,time in min,y
PRELUDE,Offshore Support Vessel,2017,49.9167,499167,394330,489,74,111,111,5,48732.26541,1.35,1.35,4016646,25.7196423,154275.6189,25.71260316,27
MSC LORETO,Container Ship,2023,23.6184,236184,240000,399,60,90,90,5,23057.97734,0.1,0.1,2154600,7,304506.0032,50.75100054,52
MSC FEBE,Container Ship,2019,23.2618,232618,228149,400,62,93,92,7,22709.83882,0.09,0.91,2306400,29.56288213,77248.56294,12.87476049,14
MSC ARINA,Container Ship,2019,22.8741,228741,228111,400,61,91.5,91,18,22331.33825,0.09,0.41,2232600,51.02611096,43316.42408,7.219404014,8
EVER GOVERN,Container Ship,2019,21.9688,219688,198937,400,59,88.5,88,15,21447.51941,0.09,0.41,2088600,42.52175914,48613.99252,8.102332087,9
MAASTRICHT MAERSK,Container Ship,2019,21.4286,214286,190326,399,59,88.5,88,16,20920.1374,0.09,0.41,2083378.5,45.35654308,45472.12425,7.578687376,9
ONE TREASURE,Container Ship,2018,21.0691,210691,189766,400,58,87,86,3,20569.1677,0.09,0.91,2018400,12.66980663,157684.3981,26.28073302,27
ORE SHENZHEN,Bulk Carrier,2018,20.3953,203953,398997,362,65,97.5,97,17,19911.35577,0.08,0.42,2294175,48.77548565,46627.18606,7.771197676,9
SAHAM MAX,Bulk Carrier,2013,20.1705,201705,400694,360,65,97.5,97,12,19691.88988,0.08,0.42,2281500,34.42975457,65693.41368,10.94890228,12
BARZAN,Container Ship,2015,19.5636,195636,199744,400,59,88.5,88,6,19099.39054,0.08,0.42,2088600,17.21487729,120215.8212,20.0359702,21
MARSTAL MAERSK,Container Ship,2014,19.4849,194849,213971,399,59,88.5,88,18,19022.55795,0.08,0.42,2083378.5,51.64463186,39972.3237,6.66205395,8
MSC DIANA,Container Ship,2016,19.425,194250,202036,400,59,88.5,88,11,18964.07927,0.08,0.42,2088600,31.56060836,65576.55344,10.92942557,12
COSTA TOSCANA,Passenger (Cruise) Ship,2021,18.6364,186364,13000,337,42,63,63,8,18194.19134,0.13,0.13,891702,12.76996476,68403.30612,11.40055102,12
MSC NEW YORK,Container Ship,2014,17.649,176490,186766,399,54,81,80,12,17230.22059,0.08,0.92,1745226,50.95692298,33910.91295,5.651818825,7
MSC MERAVIGLIA,Passenger (Cruise) Ship,2017,17.1598,171598,12200,316,43,64.5,64,10,16752.62844,0.12,0.38,876426,27.29102417,31500.2239,5.250037316,6
ATHERINA,Crude Oil Tanker,2011,16.9919,169919,319471,340,60,90,89,6,16588.71241,0.08,0.92,1836000,25.47846149,71409.77834,11.90162972,13
AL GHUWAIRIYA,LNG Tanker,2008,16.8189,168189,154940,345,55,82.5,82,13,16419.81739,0.09,0.41,1565437.5,36.85219125,42033.25854,7.00554309,8
HONG KONG SPIRIT,Crude Oil Tanker,2013,16.6231,166231,318473,333,60,90,90,16,16228.66338,0.08,0.08,1798200,20.03516908,88942.16613,14.82369436,16
NEW PROSPERITY,Crude Oil Tanker,2015,16.5209,165209,318607,333,60,90,90,5,16128.8884,0.08,0.08,1798200,6.260990337,284630.8676,47.43847793,48
NEW WISDOM,Crude Oil Tanker,2011,16.468,164680,317960,333,60,90,90,12,16077.24362,0.08,0.08,1798200,15.02637681,118599.6318,19.7666053,21
DAN,Crude Oil Tanker,2009,16.4241,164241,319999,333,60,90,90,11,16034.38529,0.08,0.08,1798200,13.77417874,129384.528,21.564088,23
ATBAN,Crude Oil Tanker,1996,16.3882,163882,300361,340,56,84,84,7,15999.33714,0.08,0.08,1599360,8.765386472,180637.861,30.10631016,31
SAN RAMON VOYAGER,Crude Oil Tanker,2019,16.3214,163214,318608,336,60,90,89,3,15934.12218,0.08,0.92,1814400,12.73923075,141175.3907,23.52923178,25
NISALAH,Crude Oil Tanker,2010,16.2863,162863,319287,333,60,90,89,15,15899.85504,0.08,0.92,1798200,63.69615373,27981.28365,4.663547275,6
DHT OPAL,Crude Oil Tanker,2012,16.2557,162557,320105,333,60,90,89,18,15869.98113,0.08,0.92,1798200,76.43538448,23318.12721,3.886354536,5
JAHAM,Crude Oil Tanker,2008,16.2252,162252,319430,332,60,90,90,14,15840.20484,0.08,0.08,1792800,17.53077294,101362.3188,16.89371979,18
MARAN THETIS,Crude Oil Tanker,2012,16.2018,162018,320105,333,60,90,89,10,15817.36008,0.08,0.92,1798200,42.46410249,41973.86817,6.995644696,8
GENT,Crude Oil Tanker,2005,16.1632,161632,319180,333,60,90,90,15,15779.67599,0.08,0.08,1798200,18.78297101,94895.54783,15.81592464,17
SEAWAYS DIAMOND HEAD,Crude Oil Tanker,2016,16.1319,161319,299989,333,60,90,89,19,15749.11868,0.08,0.92,1798200,80.68179472,22092.35537,3.682059229,5
BIG STAR,Crude Oil Tanker,2004,16.1175,161175,319247,333,60,90,89,17,15735.06037,0.08,0.92,1798200,72.18897423,24691.65075,4.115275125,5
OLYMPIC LIFE,Crude Oil Tanker,2019,16.0874,160874,318676,333,60,90,89,16,15705.67459,0.08,0.92,1798200,67.94256398,26235.31143,4.372551905,5
STELLAR RIO,Bulk Carrier,1994,16.0666,160666,298450,332,58,87,87,20,15685.36813,0.08,0.08,1675272,25.04396135,66266.93792,11.04448965,12
AWTAD,Crude Oil Tanker,2011,16.0493,160493,309988,333,60,90,89,11,15668.47863,0.08,0.92,1798200,46.71051274,38161.2493,6.360208216,7
SPLENDOR,Crude Oil Tanker,1993,16.0299,160299,306474,331,58,87,87,11,15649.53896,0.08,0.08,1670226,13.77417874,120121.6052,20.02026754,21
PIONEER,Crude Oil Tanker,1999,16.0216,160216,306397,334,58,87,87,11,15641.4359,0.08,0.08,1685364,13.77417874,121221.2064,20.2035344,21
BASRA,Crude Oil Tanker,2021,16.0087,160087,298981,339,60,90,90,12,15628.842,0.08,0.08,1830600,15.02637681,120785.6811,20.13094686,21
NEW PEARL,Crude Oil Tanker,2011,16.0043,160043,301866,333,60,90,90,18,15624.5464,0.08,0.08,1798200,22.53956521,79086.50574,13.18108429,14
SAKE,Crude Oil Tanker,2005,15.9938,159938,300390,333,60,90,89,3,15614.29555,0.08,0.92,1798200,12.73923075,139928.834,23.32147233,24
NEW PRIME,Crude Oil Tanker,2018,15.9843,159843,311003,333,60,90,90,4,15605.02097,0.08,0.08,1798200,5.00879227,355893.1741,59.31552901,60
PLATA GLORY,Crude Oil Tanker,1999,15.9423,159423,300133,333,60,90,90,13,15564.01755,0.08,0.08,1798200,16.27857488,109508.1109,18.25135181,19
DHT BAUHINIA,Crude Oil Tanker,2007,15.9158,159158,301019,332,58,87,86,17,15538.14635,0.08,0.92,1675272,72.18897423,22991.51458,3.831919097,5
TAKAMATSU MARU,Crude Oil Tanker,2012,15.8424,158424,311087,333,60,90,90,15,15466.488,0.08,0.08,1798200,18.78297101,94912.22187,15.81870365,17
LEXIE,Crude Oil Tanker,2001,15.7831,157831,298911,332,58,87,86,9,15408.59508,0.08,0.92,1675272,38.21769224,43431.80626,7.238634376,8
MAXIM,Crude Oil Tanker,2011,15.7351,157351,296887,330,60,90,90,8,15361.73404,0.08,0.08,1782000,10.01758454,176353.7167,29.39228612,30
NEW PIONEER,Crude Oil Tanker,2010,15.7052,157052,297058,330,60,90,89,9,15332.54351,0.08,0.92,1782000,38.21769224,46226.42952,7.704404919,9
NEW PROSPECT,Crude Oil Tanker,2009,15.6921,156921,297934,330,60,90,90,16,15319.75435,0.08,0.08,1782000,20.03516908,88178.95366,14.69649228,16
NASHA,Crude Oil Tanker,1996,15.6809,156809,298732,332,58,87,87,20,15308.82011,0.08,0.08,1675272,25.04396135,66281.9734,11.04699557,12
GAZA MARINE TERMINAL,FSO,2016,15.651,156510,265869,338,51,76.5,76,18,15279.62958,0.09,0.41,1318707,51.02611096,25544.32125,4.257386874,5
STELLAR UNICORN,Bulk Carrier,1993,15.6352,156352,279022,330,56,84,83,4,15264.20449,0.08,0.92,1552320,16.98564099,90491.48019,15.08191336,16
SEAWAYS ENTERPRISE,Crude Oil Tanker,2023,15.6186,156186,300000,336,60,90,89,19,15247.99838,0.08,0.92,1814400,80.68179472,22299.35524,3.716559206,5
YIANNIS LATSIS,Crude Oil Tanker,2022,15.4792,154792,299999,330,60,90,90,11,15111.90609,0.08,0.08,1782000,13.77417874,128275.3859,21.37923099,22
ALICE,Crude Oil Tanker,2016,15.4379,154379,299320,333,60,90,89,3,15071.58607,0.08,0.92,1798200,12.73923075,139971.4354,23.32857257,24
SEAPASSION,Crude Oil Tanker,2017,15.4182,154182,299271,333,60,90,90,9,15052.35351,0.08,0.08,1798200,11.26978261,158223.7838,26.37063063,27
BING N,Bulk Carrier,1992,15.403,154030,322941,339,55,82.5,82,11,15037.51418,0.08,0.42,1538212.5,31.56060836,48261.90194,8.043650323,9
MAERSK HANOI,Container Ship,2018,15.3773,153773,178257,353,54,81,80,18,15012.424,0.08,0.92,1544022,76.43538448,20003.94956,3.333991594,4
MSC SEASIDE,Passenger (Cruise) Ship,2017,15.3516,153516,19209,323,41,61.5,61,3,14987.33381,0.11,0.39,814444.5,8.294335416,96385.92196,16.06432033,17
MSC VALERIA,Container Ship,2012,15.3115,153115,165966,366,51,76.5,76,3,14948.18531,0.08,0.42,1427949,8.607438643,164160.4283,27.36007139,28
COSRICH LAKE,Crude Oil Tanker,2012,15.2727,152727,297336,330,60,90,90,9,14910.30597,0.08,0.08,1782000,11.26978261,156798.9158,26.13315263,27
EROS,Crude Oil Tanker,2000,15.2139,152139,284170,330,60,90,89,11,14852.90119,0.08,0.92,1782000,46.71051274,37831.89255,6.305315425,7
GEMMA,Bulk Carrier,2012,15.1915,151915,313049,330,57,85.5,85,10,14831.0327,0.08,0.42,1608255,28.69146214,55536.52021,9.256086702,10
HUGO N,Bulk Carrier,2011,15.1448,151448,297088,327,55,82.5,82,8,14785.44081,0.08,0.42,1483762.5,22.95316972,63998.87586,10.66647931,12
CMA CGM ARCTIC,Container Ship,2022,15.0844,150844,159614,366,51,76.5,76,10,14726.47399,0.08,0.42,1427949,28.69146214,49255.85594,8.209309323,9
MANARA,Passenger (Cruise) Ship,2017,15.0695,150695,15370,335,44,66,65,10,14711.92754,0.1,0.9,972840,42,22812.57315,3.802095526,5
MSC VIRGO,Container Ship,2020,14.9525,149525,158097,366,48,72,72,19,14597.70375,0.08,0.08,1264896,23.79176328,52551.729,8.758621499,10
THESEUS,Container Ship,2016,14.921,149210,153594,369,51,76.5,76,15,14566.95118,0.08,0.42,1439653.5,43.03719322,33112.90636,5.518817726,7
PACIFIC CORAL,Bulk Carrier,1995,14.8169,148169,265278,324,56,84,83,15,14465.32129,0.08,0.92,1524096,63.69615373,23700.4998,3.9500833,5
YM WHOLESOME,Container Ship,2015,14.5324,145324,145502,368,51,76.5,76,9,14187.57197,0.08,0.42,1435752,25.82231593,55051.77893,9.175296488,10
DIAMOND GAS ROSE,LNG Tanker,2018,14.4828,144828,94145,294,49,73.5,73,18,14139.14889,0.1,0.4,1058841,50.4,20728.21133,3.454701889,4
ULSAN EXPRESS,Container Ship,2014,14.3262,143262,142023,367,48,72,71,13,13986.26473,0.08,0.92,1268352,55.20333323,22722.64484,3.787107474,5
HYUNDAI PRIDE,Container Ship,2014,14.262,142620,145683,366,48,72,71,16,13923.58808,0.08,0.92,1264896,67.94256398,18412.20494,3.068700823,4
COSCO GLORY,Container Ship,2011,14.1823,141823,140637,366,48,72,72,11,13845.77922,0.08,0.08,1264896,13.77417874,90825.75769,15.13762628,16
MAERSK ESSEN,Container Ship,2010,14.1716,141716,148723,366,48,72,72,8,13835.33311,0.08,0.08,1264896,10.01758454,124886.4596,20.81440993,22
CELEBRITY BEYOND,Passenger (Cruise) Ship,2022,14.142,141420,13991,306,39,58.5,58,4,13806.43547,0.12,0.38,698139,10.91640967,62688.42829,10.44807138,11
OOCL POLAND,Container Ship,2013,14.1003,141003,144342,366,48,72,71,19,13765.72494,0.08,0.92,1264896,80.68179472,15506.9713,2.584495216,4
MARINER OF THE SEAS,Passenger (Cruise) Ship,2003,13.9863,139863,9616,311,39,58.5,58,12,13654.42995,0.11,0.39,709546.5,33.17734167,20974.91948,3.495819914,4
ONAIZA,LNG Tanker,2009,13.698,136980,121939,315,50,75,75,10,13372.9708,0.08,0.08,1181250,12.52198067,93266.15809,15.54435968,17
AL GHARRAFA,LNG Tanker,2008,13.641,136410,106898,315,50,75,74,10,13317.32331,0.08,0.92,1181250,42.46410249,27504.00004,4.584000007,6
BERGE ELBRUS,Bulk Carrier,2015,13.5472,135472,250379,325,57,85.5,85,15,13225.74902,0.07,0.43,1583887.5,43.54652684,36068.58836,6.011431393,7
SERI CAMELLIA,LNG Tanker,2016,13.3948,133948,84333,290,46,69,68,13,13076.9652,0.1,0.9,920460,54.6,16618.7369,2.769789484,4
INDIGO HOPE,Bulk Carrier,2013,13.2508,132508,251019,330,57,85.5,85,14,12936.38206,0.07,0.43,1608255,40.64342505,39251.57921,6.541929869,8
PETROBRAS-47,Offshore Support Vessel,1976,13.1242,131242,260349,344,52,78,78,13,12812.78606,0.07,0.07,1395264,15.22721248,90788.20011,15.13136668,16
MARVEL EAGLE,LNG Tanker,2018,12.8917,128917,83571,300,49,73.5,73,5,12585.80287,0.09,0.41,1080450,14.17391971,75340.07662,12.55667944,14
ENSHU MARU,LNG Tanker,2018,12.7088,127088,83708,293,49,73.5,73,6,12407.24276,0.09,0.41,1055239.5,17.00870365,61311.68362,10.21861394,11
ALTO ACRUX,LNG Tanker,2008,12.2361,122361,80229,288,49,73.5,73,5,11945.75909,0.08,0.42,1037232,14.34573107,71469.77981,11.91162997,13
LNG JUPITER,LNG Tanker,2009,12.1675,121675,81950,290,49,73.5,73,13,11878.78685,0.08,0.42,1044435,37.29890079,27683.28801,4.613881336,6
ENERGY FRONTIER,LNG Tanker,2003,11.9393,119393,73795,290,49,73.5,73,10,11656.00163,0.08,0.42,1044435,28.69146214,35996.03928,5.99933988,7
ELISA AQUILA,LNG Tanker,2022,11.8753,118753,95131,297,47,70.5,70,10,11593.52023,0.08,0.42,984109.5,28.69146214,33895.6577,5.649276283,7
YM TUTORIAL,Container Ship,2022,11.8523,118523,136899,333,48,72,71,12,11571.06598,0.07,0.93,1150848,51.23311429,22237.12046,3.706186743,5
EVER FUTURE,Container Ship,2021,11.734,117340,127076,334,48,72,71,10,11455.57303,0.07,0.93,1154304,42.69426191,26768.19731,4.461366219,5
UMM AL ASHTAN,LNG Tanker,1997,11.6703,116703,73100,290,48,72,72,12,11393.38452,0.08,0.08,1002240,15.02637681,65940.48772,10.99008129,12
CSCL SOUTH CHINA SEA,Container Ship,2014,11.6568,116568,121185,335,49,73.5,73,3,11380.20485,0.07,0.43,1206502.5,8.709305368,137223.6068,22.87060113,24
COOL RACER,LNG Tanker,2021,11.6354,116354,93423,299,46,69,68,18,11359.31263,0.08,0.92,949026,76.43538448,12267.44254,2.044573757,3
VENTURA,Passenger (Cruise) Ship,2008,11.6017,116017,8044,289,36,54,54,13,11326.41228,0.11,0.11,561816,19.08832104,28839.07844,4.806513074,6
GASLOG GEORGETOWN,LNG Tanker,2020,11.5636,115636,88184,293,46,69,69,11,11289.21632,0.08,0.08,929982,13.77417874,66696.73749,11.11612292,12
BW ENN SNOW LOTUS,LNG Tanker,2022,11.5373,115373,93980,295,46,69,68,4,11263.54037,0.08,0.92,936330,16.98564099,54461.67501,9.076945834,10
PAN AFRICA,LNG Tanker,2019,11.4996,114996,88438,290,47,70.5,70,9,11226.73493,0.08,0.42,960915,25.82231593,36777.8114,6.129635233,7
BW PAVILIONARANTHERA,LNG Tanker,2020,11.4622,114622,95788,295,46,69,69,4,11190.22236,0.08,0.08,936330,5.00879227,184703.1635,30.78386059,32
SPIRIT OF HELA,LNG Tanker,2010,11.4277,114277,87130,298,46,69,69,11,11156.54099,0.08,0.08,945852,13.77417874,67858.52547,11.30975425,12
